type,t_us,ax,ay,az,gx,gy,gz,roll,pitch,yaw,temp,state,shank_deg,shank_rate_dps,acc_g,knee_rad,knee_vel,tau_g,tau_imp,tau_cmd,tau_fb,k,b,theta_eq,landing,flex_peak,shank_cross
EXO,19712071,,,,,,,,,,,SAFE,-13.31,2.93,0.988,1.206,-0.022,-0.0,0.0,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.0
EXO,19812071,,,,,,,,,,,SAFE,-13.173,1.282,1.016,1.206,0.04,-0.0,0.0,0.0,-0.008,0.0,0.0,0.0,0.0,0.0,0.0
EXO,19912071,,,,,,,,,,,SAFE,-13.206,2.258,1.012,1.206,0.015,-0.0,0.0,0.0,-0.005,0.0,0.0,0.0,0.0,0.0,0.0
EXO,20012071,,,,,,,,,,,SAFE,-13.26,-3.723,0.989,1.208,-0.113,-0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0
EXO,20112071,,,,,,,,,,,SAFE,-13.409,0.549,1.019,1.209,0.003,-0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0
EXO,20212071,,,,,,,,,,,SAFE,-13.788,-5.005,0.99,1.231,0.37,-0.0,0.0,0.0,-0.015,0.0,0.0,0.0,0.0,0.0,0.0
EXO,20312071,,,,,,,,,,,SAFE,-14.2,1.892,0.984,1.274,-0.085,-0.0,0.0,0.0,0.064,0.0,0.0,0.0,0.0,0.0,0.0
EXO,20412071,,,,,,,,,,,SAFE,-15.903,-3.601,0.991,1.274,0.028,-0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0
EXO,20512071,,,,,,,,,,,SAFE,-16.205,-1.77,0.991,1.274,-0.072,-0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0
EXO,20612071,,,,,,,,,,,SAFE,-16.084,0.244,0.975,1.272,-0.077,-0.0,0.0,0.0,0.038,0.0,0.0,0.0,0.0,0.0,0.0
EXO,20712071,,,,,,,,,,,SAFE,-15.908,1.038,1.005,1.272,-0.021,-0.0,0.0,0.0,-0.007,0.0,0.0,0.0,0.0,0.0,0.0
EXO,20812071,,,,,,,,,,,SAFE,-15.683,1.099,1.02,1.272,0.025,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXO,20912071,,,,,,,,,,,SAFE,-15.414,3.235,0.994,1.271,-0.034,-0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0
EXO,21012071,,,,,,,,,,,SAFE,-15.15,1.892,0.98,1.271,-0.15,-0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0
EXO,21112071,,,,,,,,,,,SAFE,-14.826,3.845,1.011,1.268,-0.134,-0.0,0.0,0.0,0.044,0.0,0.0,0.0,0.0,0.0,0.0
EXO,21212071,,,,,,,,,,,SAFE,-14.442,6.165,0.982,1.259,-0.174,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXO,21312071,,,,,,,,,,,SAFE,-13.859,2.197,0.997,1.259,0.002,-0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0
EXO,21412071,,,,,,,,,,,SAFE,-13.76,2.502,1.03,1.259,-0.007,-0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0
EXO,21512071,,,,,,,,,,,SAFE,-13.552,0.549,0.972,1.259,-0.073,-0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0
EXO,21612071,,,,,,,,,,,SAFE,-13.508,2.686,0.997,1.259,0.032,-0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0
EXO,21712071,,,,,,,,,,,SAFE,-13.508,2.93,1.037,1.259,0.105,-0.0,0.0,0.0,-0.012,0.0,0.0,0.0,0.0,0.0,0.0
EXO,21812071,,,,,,,,,,,SAFE,-13.343,-0.305,0.991,1.259,0.007,-0.0,0.0,0.0,-0.004,0.0,0.0,0.0,0.0,0.0,0.0
EXO,21912071,,,,,,,,,,,SAFE,-13.217,-0.061,0.991,1.259,0.183,-0.0,0.0,0.0,-0.003,0.0,0.0,0.0,0.0,0.0,0.0
EXO,22012071,,,,,,,,,,,SAFE,-13.288,0.0,1.027,1.259,0.04,-0.0,0.0,0.0,-0.004,0.0,0.0,0.0,0.0,0.0,0.0
EXO,22112071,,,,,,,,,,,SAFE,-13.425,-1.77,0.993,1.259,-0.065,-0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0
EXO,22212071,,,,,,,,,,,SAFE,-13.403,-2.136,0.991,1.259,0.023,-0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0
EXO,22312071,,,,,,,,,,,SAFE,-13.53,2.319,1.009,1.259,0.021,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXO,22412071,,,,,,,,,,,SAFE,-13.392,1.648,0.976,1.259,0.001,-0.0,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.0,0.0
EXO,22512071,,,,,,,,,,,SAFE,-13.228,-1.953,0.995,1.259,-0.162,-0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0
EXO,22612071,,,,,,,,,,,SAFE,-13.332,2.136,1.014,1.258,-0.046,-0.0,0.0,0.0,-0.008,0.0,0.0,0.0,0.0,0.0,0.0
EXO,22712071,,,,,,,,,,,SAFE,-13.074,-1.831,0.991,1.259,0.003,-0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0
EXO,22812071,,,,,,,,,,,SAFE,-13.282,-4.822,0.995,1.259,0.072,-0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0
EXO,22912071,,,,,,,,,,,SAFE,-13.25,0.61,1.005,1.259,0.034,-0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0
EXO,23012071,,,,,,,,,,,SAFE,-13.376,3.479,0.998,1.258,0.03,-0.0,0.0,0.0,-0.003,0.0,0.0,0.0,0.0,0.0,0.0
EXO,23112071,,,,,,,,,,,SAFE,-13.167,-0.427,1.006,1.258,-0.097,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXO,23212071,,,,,,,,,,,SAFE,-13.134,-7.507,1.031,1.259,0.089,-0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
