type,t_us,idx,ax,ay,az,gx,gy,gz,roll,pitch,yaw,temp,state,shank_deg,shank_rate_dps,acc_g,knee_rad,knee_vel,tau_g,tau_imp,tau_cmd,tau_fb,k,b,theta_eq,landing,flex_peak,shank_cross
IMU,13347205.0,2,0.5288,-1.0557,0.1714,-12.88,12.7,-3.97,-78.05,-21.71,90.46,26.8,,,,,,,,,,,,,,,,
EXO,13447515,,,,,,,,,,,,SAFE,-21.714,12.695,1.193,0.621,-0.011,-0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0
IMU,13465715.0,1,-0.0581,-0.8604,0.2051,-0.67,19.1,18.07,-78.82,2.14,40.02,25.2,,,,,,,,,,,,,,,,
IMU,13447149.0,2,0.2642,-0.8247,0.1787,-6.35,9.09,17.03,-78.93,-21.42,90.83,26.9,,,,,,,,,,,,,,,,
EXO,13547528,,,,,,,,,,,,SAFE,-21.423,9.094,0.884,0.62,-0.062,-0.0,0.0,0.0,-0.002,0.0,0.0,0.0,0.0,0.0,0.0
IMU,13565884.0,1,-0.1021,-1.0864,0.1265,-12.57,-0.55,-4.58,-79.5,3.07,39.06,25.5,,,,,,,,,,,,,,,,
IMU,13547079.0,2,0.395,-1.0122,0.1333,-11.72,-4.27,-1.53,-79.69,-20.15,89.99,26.8,,,,,,,,,,,,,,,,
EXO,13647786,,,,,,,,,,,,SAFE,-20.154,-4.272,1.095,0.621,-0.033,-0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0
IMU,13666117.0,1,-0.0591,-0.9048,0.1743,1.59,2.62,10.74,-80.02,3.35,39.34,25.5,,,,,,,,,,,,,,,,
IMU,13647032.0,2,0.2939,-0.8706,0.1548,0.18,2.38,8.79,-80.39,-20.22,90.47,26.9,,,,,,,,,,,,,,,,
EXO,13747160,,,,,,,,,,,,SAFE,-20.22,2.38,0.932,0.621,-0.032,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMU,13766246.0,1,-0.1123,-1.0386,0.1641,2.75,4.82,-0.85,-79.88,4.06,39.03,25.5,,,,,,,,,,,,,,,,
